#class tools::wcsv::ntuple
#title Truth information
#separator 44
#vector_separator 59
#column int EventNumber
#column double Phi
#column double Theta
#column double Momentum
#column int ParticleCode
0,-0.0635963,2.42235,39.7731,0
0,-0.0660826,2.42225,5.72689,2
0,3.07768,0.719255,45.5,0
1,0.7031,2.20992,0.0113224,2
1,0.702142,2.21321,45.4884,0
1,0.704265,2.21392,0.000264977,2
1,-2.43945,0.928381,45.5,0
2,-2.79813,0.959112,45.1375,0
2,-2.79726,0.961808,0.362516,2
2,0.343466,2.18246,45.5,0
3,-1.81101,0.471455,0.0162899,2
3,-2.54914,1.07153,3.41365e-05,2
3,0.717915,2.04377,45.4978,0
3,0.745089,2.0351,4.12592e-05,2
3,-2.42378,1.09804,45.4858,0
4,1.07114,2.39236,45.5,0
4,-2.07045,0.749231,45.5,0
5,-2.32434,1.84221,13.5575,2
5,0.791723,1.30777,45.4967,0
5,1.09247,1.48,7.92772e-05,2
5,-2.36067,1.83021,31.9458,0
6,-1.27072,1.91494,2.23847,2
6,-2.09156,2.10057,43.5508,0
6,-2.08742,2.09893,0.00626754,2
6,1.08953,1.043,45.2045,0
7,-1.8088,2.92833,0.000432679,2
7,1.40064,0.190524,45.5,0
7,1.96913,0.541765,1.25419e-05,2
7,-1.74096,2.95107,45.4996,0
8,1.15151,1.45603,2.87001,2
8,-1.3985,1.95072,45.2064,0
8,-1.7998,2.20233,0.00188005,2
8,1.78319,1.1778,42.9217,0
9,-1.07679,1.61109,45.5,0
9,2.0648,1.5305,45.5,0
10,1.56776,1.72912,45.4964,0
10,1.56549,1.72938,0.00355933,2
10,-1.57384,1.41247,45.5,0
11,2.69824,0.750546,45.4009,0
11,2.65842,0.733049,0.0991398,2
11,-0.443433,2.39109,45.5,0
12,1.0247,1.97121,0.544343,2
12,0.448575,1.67702,20.5823,0
12,0.448629,1.67685,24.4247,2
12,-2.68694,1.46101,45.4486,0
13,1.67876,2.26126,45.4648,0
13,1.69422,2.30117,0.0352518,2
13,-1.46282,0.880306,45.5,0
14,0.503889,2.72943,45.5,0
14,0.0631405,2.43254,1.32201e-05,2
14,-2.6377,0.412163,45.5,0
15,0.796137,0.304828,3.04755,2
15,-2.23521,1.11075,0.349804,2
15,0.904702,2.10087,0.748254,2
15,-2.21482,1.11369,0.000926495,2
15,-2.23876,1.10956,43.3345,0
15,-2.28517,1.10218,0.000110268,2
15,0.905427,2.10001,43.5189,0
16,-1.78271,0.367736,45.5,0
16,1.35888,2.77386,45.5,0
17,1.56964,1.25933,24.8373,2
17,-1.7056,1.77491,45.1169,0
17,-1.69928,1.76912,0.00160013,2
17,1.28533,1.49783,21.0442,0
18,-1.40324,1.59296,45.5,0
18,1.73835,1.54863,45.5,0
19,1.62577,2.39314,37.5102,0
19,-0.304055,2.97359,9.1931,2
19,-1.57336,0.600421,44.2967,0
20,1.19857,1.34371,0.000301198,2
20,1.07432,1.14475,45.4996,0
20,1.08963,1.04511,8.7614e-05,2
20,-2.06727,1.99684,45.5,0
21,-2.30276,2.53249,10.6554,2
21,0.838375,0.609638,45.3378,0
21,0.838443,0.609748,0.162234,2
21,-2.30336,2.53179,34.8446,0
22,-1.95843,1.69925,0.713278,2
22,1.02793,1.33631,0.0110241,2
22,0.384447,1.8789,45.3377,0
22,0.385628,1.89294,0.0160802,2
22,-2.76885,1.25755,44.922,0
23,-0.090479,0.997638,2.02148,2
23,3.05108,2.14425,45.4997,0
23,2.99423,2.08049,0.000263449,2
23,-0.0905136,0.99733,43.4785,0
24,2.47418,2.80594,45.4772,0
24,-2.75756,2.57825,0.0242254,2
24,-0.666667,0.335634,45.4986,0
25,1.00503,2.002,0.00513916,2
25,0.213373,1.25747,45.3568,0
25,0.213174,1.25692,0.139436,2
25,-2.92814,1.88406,45.4987,0
26,1.81186,2.54287,45.2428,0
26,1.81787,2.54469,0.257212,2
26,-1.3297,0.598709,45.5,0
27,-1.93305,1.80864,0.206014,2
27,-1.07336,2.01366,45.3258,0
27,-1.01498,2.03438,0.00165856,2
27,2.06454,1.1282,45.4666,0
28,-1.38323,2.56056,45.5,0
28,1.75836,0.581031,45.5,0
29,2.01662,1.895,45.5,0
29,1.91546,1.68368,5.04954e-06,2
29,-1.12497,1.24659,45.5,0
30,2.70267,2.27498,20.7891,2
30,2.78885,2.30465,24.7086,0
30,2.7889,2.30481,0.016699,2
30,-0.392659,0.850041,45.4856,0
31,1.1124,2.7664,45.5,0
31,-2.0292,0.375197,45.5,0
32,1.8481,0.479727,45.5,0
32,-1.29349,2.66187,45.5,0
33,2.968,1.71975,45.5,0
33,-0.173589,1.42184,45.5,0
34,2.08104,1.38784,45.5,0
34,-1.06055,1.75376,45.5,0
35,-0.770218,1.98351,0.0315036,2
35,-0.770567,1.99653,45.4266,0
35,-0.770528,1.99661,0.0418665,2
35,2.37103,1.14507,45.5,0
36,0.943507,0.741588,4.03833,2
36,-2.32629,2.52225,45.4277,0
36,-2.3226,2.52105,0.0486288,2
36,0.800592,0.607966,41.4853,0
37,-0.407057,1.58571,45.5,0
37,-0.329875,1.6778,2.23552e-05,2
37,2.73454,1.55589,45.5,0
38,-1.2007,1.59822,0.0111513,2
38,-1.22612,1.62036,45.4735,0
38,-1.22761,1.61961,0.0153991,2
38,1.91548,1.52124,45.5,0
39,1.01376,0.85831,45.5,0
39,-2.12783,2.28328,45.5,0
40,0.732636,2.2742,10.6326,2
40,-2.54739,0.975887,0.158418,2
40,-2.54805,0.975299,45.2585,0
40,-2.54352,0.97651,0.000571507,2
40,0.555541,2.13192,34.9499,0
41,3.00639,1.23783,45.498,0
41,1.17262,1.96945,0.00603229,2
41,-0.13533,1.90373,45.4959,0
42,-0.796599,2.01636,45.5,0
42,2.34499,1.12523,45.5,0
43,-2.09886,1.67326,45.5,0
43,1.04273,1.46834,45.5,0
44,0.801553,0.983565,45.4998,0
44,0.812043,1.02143,0.00017476,2
44,-2.34004,2.15803,45.5,0
45,-2.58667,1.83032,45.5,0
45,-2.19884,1.09116,1.80516e-06,2
45,0.554919,1.31127,45.5,0
46,2.05906,0.55115,45.4882,0
46,2.01042,0.573227,0.0118212,2
46,-1.08255,2.59044,45.5,0
47,-2.688,1.1267,45.5,0
47,0.453597,2.01489,45.5,0
48,-0.358167,0.907164,1.61377,2
48,-3.1153,1.82219,0.409771,2
48,-3.12216,1.83844,44.9697,0
48,-3.12727,1.84034,0.0112413,2
48,0.0304957,1.318,43.9955,0
49,1.95861,2.04583,45.4948,0
49,1.97266,2.0084,0.00517743,2
49,-1.18298,1.09576,45.5,0
50,1.74044,2.46555,45.5,0
50,-1.40115,0.676039,45.5,0
51,2.31233,0.449933,45.5,0
51,-0.829262,2.69166,45.5,0
52,-0.854522,2.74192,16.2954,2
52,-2.93806,1.30676,39.207,0
52,-2.72761,1.03287,1.43875e-05,2
52,0.361268,1.43576,35.4976,0
53,-1.93557,2.17163,45.5,0
53,1.20602,0.969961,45.5,0
54,-2.43878,2.27795,44.9887,0
54,-2.44015,2.27656,0.511316,2
54,0.702801,0.863657,45.5,0
55,-0.418097,1.08445,0.160573,2
55,-0.835822,1.09389,0.000202912,2
55,2.7332,2.0682,0.00547887,2
55,-0.419016,1.08292,45.3328,0
55,-0.416813,1.08322,0.00645671,2
55,2.72258,2.05866,45.4945,0
56,2.53769,2.89842,45.3551,0
56,2.50252,2.90394,0.144868,2
56,-0.60401,0.243155,45.5,0
57,1.50074,0.946078,45.5,0
57,-1.64085,2.19551,45.5,0
58,0.480297,2.95025,45.5,0
58,-2.6613,0.191344,45.5,0
59,-1.28996,1.44401,45.5,0
59,1.85164,1.69758,45.5,0
60,-3.10026,0.527498,45.5,0
60,0.0413351,2.61409,45.5,0
