#class tools::wcsv::ntuple
#title Tracker 2 coordinates
#separator 44
#vector_separator 59
#column int EventNumber
#column int TrackID
#column double Phi
#column double Theta
#column double EnergyDeposited
#column double PathLength
2,1,-0.510024,2.06314,0.701826,2.27763
2,536,-0.549468,2.09126,0.0822208,0.00035631
2,793,2.45148,1.9636,0.0755613,0.00034158
2,1327,1.56674,2.01872,0.124304,0.000438088
2,3521,-2.97666,2.11323,0.0784914,0.000348136
3,1,0.718627,2.21321,0.846621,2.49815
3,2,-2.45592,0.928364,0.892742,2.49826
3,101,-2.45596,0.928345,0.978776,1.91864
4,79567,0.34906,2.13957,0.0536462,0.0271435
4,79687,2.95397,0.90122,0.0251212,0.00729902
4,132167,-0.180072,2.27262,0.174103,0.194945
5,2,0.718676,2.2132,0.880686,2.49818
5,4,-2.45599,0.928363,0.933169,2.49825
5,14286,-2.46202,0.924742,0.737827,1.72402
5,38079,-2.9844,1.19822,0.106677,0.000405846
5,57324,-2.45533,0.922959,0.24069,0.324645
5,63103,-3.11475,0.966364,0.0476273,0.0221069
5,92757,0.713829,2.21565,1.20915,2.81002
5,106836,-1.59583,2.16096,0.185932,0.216538
5,136509,0.703097,2.20992,1.50396,4.25785
5,136510,0.703084,2.20992,0.622101,1.3999
6,2276,-2.3153,1.26322,0.100525,0.0790788
6,5050,1.57333,2.14482,0.0170797,0.00374617
6,5470,1.56847,2.14606,0.238261,0.319595
7,1,0.85019,1.55277,0.61901,2.03293
7,87,0.848767,1.56334,3.34666,5.81024
7,250,1.95111,2.30394,0.104264,0.000401232
7,982,0.848768,1.56335,0.43074,0.825131
8,1,-2.78188,0.959079,0.736288,2.44331
8,3,0.325908,2.1825,0.719903,2.44346
8,3086,0.325562,2.19245,0.725638,1.24295
8,28304,0.328225,2.18102,0.106902,0.0876513
8,28321,0.315859,2.18838,1.08489,2.49393
8,28874,2.01546,1.94023,0.0567404,0.0298934
8,56509,2.54261,2.11705,1.36432,3.77296
8,58224,0.32468,2.17874,0.277733,0.417978
8,60351,0.325518,2.18462,0.187988,0.262745
8,60354,0.325527,2.18462,0.0132636,0.00242631
8,65063,0.345022,2.19914,0.00850964,0.00114211
8,90930,-2.79227,0.95803,0.142272,0.140587
8,124914,-1.25038,1.52872,0.175491,0.492574
8,135277,-2.79981,0.954708,0.0503558,0.0243381
9,1,-1.11663,2.15941,0.965562,2.41729
10,3,0.703123,2.0438,0.613114,2.2469
10,5,-2.40899,1.09799,0.86936,2.24668
10,30384,-2.40534,1.09941,0.580458,1.30533
10,92363,2.25503,0.838418,1.16735,2.90258
11,1,1.82865,2.09784,1.58221,5.04683
11,266,1.82887,2.10222,0.150813,0.000482503
11,351,-2.56921,1.72494,0.129544,0.12055
11,352,-2.33748,2.34155,0.252976,0.355228
12,1,1.46241,0.92932,0.945997,2.4965
12,2,-1.71204,2.2123,0.922613,2.49664
13,1,-2.78198,0.959113,0.73236,2.44324
13,3,0.327368,2.1825,0.848335,2.44329
14,313,1.65715,1.01929,0.936309,2.25865
14,8724,-1.59353,1.18854,0.320231,0.540677
15,1,-2.40896,1.098,0.737127,2.24671
15,3,0.703061,2.04381,0.699742,2.24693
16,1,1.28755,1.14702,0.962593,2.19428
16,2,-1.88303,1.99459,0.84703,2.1943
17,70155,-0.325483,1.93409,0.00466297,0.000422732
18,1,0.513024,0.94331,1.01184,2.4776
18,169,1.46993,0.862657,0.073073,0.000335916
18,220,0.474751,0.903342,0.12481,0.000438977
18,1266,2.64764,2.03573,0.107383,0.0883106
18,1352,1.11971,0.858072,0.0612746,0.0341136
18,1353,1.12426,0.862577,0.267923,0.382667
20,2,0.805352,1.30779,1.19946,2.07141
20,4,-2.38048,1.83027,0.70797,2.06973
20,24779,-2.37775,1.83736,0.033387,0.0119523
20,47986,-2.37291,1.83636,0.122661,0.110161
20,47987,-2.37087,1.8372,0.00269545,0.000177919
20,129800,-2.32509,1.85021,0.163172,0.175636
21,2,-2.10789,2.10056,0.701781,2.31798
21,4,1.10498,1.04307,0.809509,2.31515
21,4439,1.08727,1.04048,0.71652,1.66104
21,4440,0.0755088,1.19567,1.75117,3.533
21,4860,1.10617,1.03145,1.55125,3.39582
21,4861,0.679076,1.00774,0.278902,0.40673
21,24435,1.77921,1.16046,0.0575149,0.0305984
21,49953,1.09498,1.03524,0.227986,0.29148
21,60019,2.26155,0.994843,0.184406,0.213714
